"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
139;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"10";"NA";"String";"vornach";NA
140;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"1";"Projektname";"NA";"String";"fallbsp";NA
141;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"1";"Stadt";"NA";"String";"fallbsp";NA
142;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"1";"Land";"NA";"String";"fallbsp";NA
143;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"1";"Erläuterung";"NA";"String";"fallbsp";NA
144;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"2";"Projektname";"NA";"String";"fallbsp";NA
145;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"2";"Stadt";"NA";"String";"fallbsp";NA
146;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"2";"Land";"NA";"String";"fallbsp";NA
147;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"2";"Erläuterung";"NA";"String";"fallbsp";NA
148;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"3";"Projektname";"NA";"String";"fallbsp";NA
149;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"3";"Stadt";"NA";"String";"fallbsp";NA
150;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"3";"Land";"NA";"String";"fallbsp";NA
151;"ID";"B_005_Kreislauf-Aspekte";"Fallbeispiele";"3";"Erläuterung";"NA";"String";"fallbsp";NA
152;"ID";"B_005_Kreislauf-Aspekte";"Literatur";"Struktur noch unklar";"Struktur noch unklar";"NA";"String";"noch in arbeit";NA
